Codice|CAM|Tipologia / Famiglia|Capitolo|Voce|Articolo|Unità di misura|Prezzo senza S. G.|Prezzo|Utili di impresa|Spese generali|Di cui oneri di sicurezza afferenti l'impresa|Di cui oneri di sicurezza afferenti l'impresa %|Incidenza Manodopera indiretta sul totale|Manodopera|Incidenza Manodopera diretta sul totale|Manodopera|Incidenza Oneri di sicurezza sul totale|Scostamento % senza S. G.2025|Scostamento % su anno 2025
"CAM26_MT.C7.001.049"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Valvola a sfera in acciaio diametro 2''1/2"|"cad"|"88.30987"|"113.65481"|"10.33226"|"15.01268"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.050"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Cilindro verticale C = 100"|"cad"|"116.00000"|"149.29200"|"13.57200"|"19.72000"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.051"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Cilindro verticale C = 200"|"cad"|"161.24000"|"207.51588"|"18.86508"|"27.41080"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.052"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Cilindro verticale C = 400"|"cad"|"232.00000"|"298.58400"|"27.14400"|"39.44000"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.053"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Cilindro verticale C = 600"|"cad"|"334.95000"|"431.08065"|"39.18915"|"56.94150"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.054"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Cilindro verticale C = 800"|"cad"|"353.80000"|"455.34060"|"41.39460"|"60.14600"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.055"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Cilindro verticale C = 1000"|"cad"|"380.48000"|"489.67776"|"44.51616"|"64.68160"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.056"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Cilindro verticale C = 1300"|"cad"|"504.60000"|"649.42020"|"59.03820"|"85.78200"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.057"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Cilindro verticale C = 2000"|"cad"|"570.72000"|"734.51664"|"66.77424"|"97.02240"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.058"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Cilindro verticale C = 3000"|"cad"|"810.84000"|"1043.55108"|"94.86828"|"137.84280"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.059"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Cilindro orizzontale C = 200"|"cad"|"161.24000"|"207.51588"|"18.86508"|"27.41080"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.060"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Cilindro orizzontale C = 300"|"cad"|"183.28000"|"235.88136"|"21.44376"|"31.15760"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.061"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Cilindro orizzontale C = 500"|"cad"|"298.12000"|"383.68044"|"34.88004"|"50.68040"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.062"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Cilindro orizzontale C = 1000"|"cad"|"382.80000"|"492.66360"|"44.78760"|"65.07600"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.063"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Cilindro orizzontale C = 1500"|"cad"|"570.72000"|"734.51664"|"66.77424"|"97.02240"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.064"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Cilindro orizzontale C = 2000"|"cad"|"738.92000"|"950.99004"|"86.45364"|"125.61640"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.065"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Cilindro orizzontale C = 3000"|"cad"|"1107.80000"|"1425.73860"|"129.61260"|"188.32600"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.066"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Cilindro orizzontale C = 5000"|"cad"|"1716.80000"|"2209.52160"|"200.86560"|"291.85600"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.067"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Cilindro orizzontale C = 300 con B rettangolare"|"cad"|"208.80000"|"268.72560"|"24.42960"|"35.49600"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.068"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Cilindro orizzontale C = 500 con B rettangolare"|"cad"|"259.84000"|"334.41408"|"30.40128"|"44.17280"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.069"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Cilindro orizzontale C = 1000 con B rettangolare"|"cad"|"504.60000"|"649.42020"|"59.03820"|"85.78200"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.070"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"C= 300 D X H = 0,55 x 1,37"|"cad"|"262.45000"|"337.77315"|"30.70665"|"44.61650"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.071"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"C= 500 D X H = 0,65 x 1,60"|"cad"|"360.32500"|"463.73828"|"42.15803"|"61.25525"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.072"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"C= 750 D X H = 0,75 x 1,92"|"cad"|"480.09500"|"617.88227"|"56.17112"|"81.61615"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.073"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"C= 1000 D X H = 0,85 x 1,92"|"cad"|"545.05500"|"701.48579"|"63.77144"|"92.65935"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.074"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"C= 1500 D X H = 1,10 x 1,72"|"cad"|"924.66500"|"1190.04386"|"108.18581"|"157.19305"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.075"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"C= 2000 D X H = 1,20 x 1,93"|"cad"|"1104.90000"|"1422.00630"|"129.27330"|"187.83300"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.076"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"C= 3000 D X H = 1,25 x 2,45"|"cad"|"1681.85500"|"2164.54739"|"196.77704"|"285.91535"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.077"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"C= 5000 D X H = 1,70 x 2,61"|"cad"|"2317.24500"|"2982.29432"|"271.11767"|"393.93165"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.078"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"C= 7500 D X H = 1,70 x 3,73"|"cad"|"3406.77500"|"4384.51943"|"398.59268"|"579.15175"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.079"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"C= 1000 D X H = 1,70 x 4,73"|"cad"|"3812.77500"|"4907.04143"|"446.09468"|"648.17175"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.080"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"C= 300 D X H = 0,65 x 1,15"|"cad"|"377.00000"|"485.19900"|"44.10900"|"64.09000"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.081"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"C= 500 D X H = 0,65 x 1,65"|"cad"|"410.06000"|"527.74722"|"47.97702"|"69.71020"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.082"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"C= 750 D X H = 0,75 x 1,95"|"cad"|"575.94000"|"741.23478"|"67.38498"|"97.90980"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.083"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"C= 1000 D X H = 0,85 x 1,95"|"cad"|"633.36000"|"815.13432"|"74.10312"|"107.67120"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.084"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"C= 1500 D X H = 1,10 x 1,70"|"cad"|"993.54000"|"1278.68598"|"116.24418"|"168.90180"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.085"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"C= 2000 D X H = 1,10 x 2,45"|"cad"|"1183.34500"|"1522.96502"|"138.45137"|"201.16865"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.086"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Q = 0/1,0/2,5 H=4,0/2,9/1,5 P=0,44"|"cad"|"233.44988"|"300.45000"|"27.31364"|"39.68648"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.087"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Q = 0/1,0/2,5 H=5,0/3,8/2,3 P=0,59"|"cad"|"256.86628"|"330.58691"|"30.05336"|"43.66727"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.088"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Q = 0/2,0/3,5 H=5,2/3,5/2,3 P=0,79"|"cad"|"297.06394"|"382.32129"|"34.75648"|"50.50087"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.089"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Q = 0/3/6 H=5,2/4,0/2,7 P=0,74"|"cad"|"842.85644"|"1084.75623"|"98.61420"|"143.28559"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.090"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Valvola a flusso avviato DN 25"|"cad"|"86.56926"|"111.41463"|"10.12860"|"14.71677"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.091"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Q = 0/4/9 H=6,2/5,3/3,8 P=2x1,10"|"cad"|"1019.47618"|"1312.06584"|"119.27871"|"173.31095"||"0,00"||""||""||""|""
"CAM26_MT.C7.001.092"|""|"MATERIALI"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Autoclavi, serbatoi, gruppi di sollevamento"|"Q = 0/7/14 H=6,3/5,2/3,4 P =2x1,83"|"cad"|"1119.12233"|"1440.31044"|"130.93731"|"190.25080"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.001"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Bollitore in acciaio zincato C= 100 l S= 0,75 mq"|"cad"|"247.92477"|"319.07918"|"29.00720"|"42.14721"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.002"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Coppia di flessibili in gomma in guaina di acciaio m/f 1/2''"|"cad"|"1.86775"|"2.40380"|"0.21853"|"0.31752"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.003"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Coppia di tasselli ad espansione per produttori di acqua calda"|"cad"|"4.10257"|"5.28001"|"0.48000"|"0.69744"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.004"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Staffe in ferro per produttori di acqua calda"|"cad"|"5.78678"|"7.44758"|"0.67705"|"0.98375"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.005"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Bollitore in acciaio zincato C= 200 l S= 1,00 mq"|"cad"|"338.09493"|"435.12818"|"39.55711"|"57.47614"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.006"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Bollitore in acciaio zincato C= 300 l S= 1,35 mq"|"cad"|"454.05730"|"584.37174"|"53.12470"|"77.18974"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.007"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Bollitore in acciaio smaltato internamente C= 80 l S= 0,50 mq"|"cad"|"228.10288"|"293.56841"|"26.68804"|"38.77749"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.008"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Bollitore in acciaio smaltato internamente C= 100 l S= 0,60 mq"|"cad"|"267.04490"|"343.68678"|"31.24425"|"45.39763"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.009"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Bollitore in acciaio smaltato internamente C= 150 l S= 0,90 mq"|"cad"|"362.00859"|"465.90506"|"42.35501"|"61.54146"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.010"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Bollitore in acciaio smaltato internamente C= 200 l S= 1,00 mq"|"cad"|"453.74421"|"583.96880"|"53.08807"|"77.13652"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.011"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Bollitore in acciaio smaltato internamente C= 300 l S= 1,35 mq"|"cad"|"483.86571"|"622.73517"|"56.61229"|"82.25717"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.012"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Bollitore verticale in acciaio inox AISI 316  C= 150  PA= 1550"|"cad"|"883.02415"|"1136.45209"|"103.31383"|"150.11411"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.013"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Bollitore verticale in acciaio inox AISI 316  C= 200  PA= 2150"|"cad"|"997.58302"|"1283.88934"|"116.71721"|"169.58911"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.014"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Bollitore verticale in acciaio inox AISI 316  C= 300  PA= 320"|"cad"|"1470.79284"|"1892.91038"|"172.08276"|"250.03478"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.015"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Bollitore verticale in acciaio inox AISI 316  C= 400  PA= 4300"|"cad"|"1887.54915"|"2429.27576"|"220.84325"|"320.88336"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.016"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Bollitore in acciaio smaltato internamente rivestito in PVC  C= 170 l  S= 1,15 mq"|"cad"|"451.35824"|"580.89805"|"52.80891"|"76.73090"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.017"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Bollitore in acciaio smaltato internamente rivestito in PVC  C= 240 l  S= 1,35 mq"|"cad"|"520.09788"|"669.36597"|"60.85145"|"88.41664"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.018"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Bollitore in acciaio smaltato internamente rivestito in PVC  C= 350 l  S= 1,75 mq"|"cad"|"645.33422"|"830.54514"|"75.50410"|"109.70682"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.019"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Bollitore in acciaio smaltato internamente rivestito in PVC  C= 500 l  S= 2,30 mq"|"cad"|"787.62861"|"1013.67802"|"92.15255"|"133.89686"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.020"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Scaldacqua istantaneo a gas da 5 l/min"|"cad"|"213.16089"|"274.33806"|"24.93982"|"36.23735"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.021"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Scaldacqua istantaneo a gas da 10 l/min"|"cad"|"275.49835"|"354.56638"|"32.23331"|"46.83472"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.022"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Scaldacqua istantaneo a gas da 13 l/min"|"cad"|"338.94783"|"436.22586"|"39.65690"|"57.62113"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.023"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Scaldacqua istantaneo a gas da 16 l/min"|"cad"|"418.32176"|"538.38011"|"48.94365"|"71.11470"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.024"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Scaldacqua verticale elettrico da l 10"|"cad"|"104.43199"|"134.40397"|"12.21854"|"17.75344"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.025"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Scaldacqua verticale elettrico da l 15"|"cad"|"116.16750"|"149.50758"|"13.59160"|"19.74848"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.026"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Scaldacqua verticale elettrico da l 30"|"cad"|"139.60613"|"179.67309"|"16.33392"|"23.73304"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.027"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Scaldacqua verticale elettrico da l 50"|"cad"|"155.05554"|"199.55648"|"18.14150"|"26.35944"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.028"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Scaldacqua verticale elettrico da l 80"|"cad"|"158.79104"|"204.36407"|"18.57855"|"26.99448"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.029"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Scaldacqua verticale elettrico da l 100"|"cad"|"191.82752"|"246.88202"|"22.44382"|"32.61068"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.030"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Scaldacqua verticale elettrico da l 120"|"cad"|"237.65755"|"305.86526"|"27.80593"|"40.40178"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.031"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Scaldacqua verticale termoelettrico da l 50"|"cad"|"193.45776"|"248.98014"|"22.63456"|"32.88782"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.032"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Scaldacqua verticale termoelettrico da l 80"|"cad"|"203.57383"|"261.99952"|"23.81814"|"34.60755"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.033"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Scaldacqua verticale termoelettrico da l 100"|"cad"|"229.66833"|"295.58315"|"26.87120"|"39.04362"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.034"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Scaldacqua orizzontale termoelettrico da l 80"|"cad"|"226.48344"|"291.48418"|"26.49856"|"38.50218"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.035"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Scaldacqua orizzontale termoelettrico da l 100"|"cad"|"257.39307"|"331.26488"|"30.11499"|"43.75682"||"0,00"||""||""||""|""
"CAM26_MT.C8.001.036"|""|"MATERIALI"|"Bollitori e scaldacqua"|"Bollitori e scaldacqua"|"Additivo per protezione filettatura in pasta verde"|"kg"|"2.67747"|"3.44590"|"0.31326"|"0.45517"||"0,00"||""||""||""|""
"CAM26_MT.C9.001.001"|""|"MATERIALI"|"Impianti antincendio"|"Impianti antincendio"|"Estintore carrellato a polvere da 50 kg classe AB1 C"|"cad"|"391.74170"|"504.17157"|"45.83378"|"66.59609"||"0,00"||""||""||""|""
"CAM26_MT.C9.001.002"|""|"MATERIALI"|"Impianti antincendio"|"Impianti antincendio"|"Estintore carrellato a polvere da 100 kg classe AB1  C"|"cad"|"617.91356"|"795.25476"|"72.29589"|"105.04531"||"0,00"||""||""||""|""
"CAM26_MT.C9.001.003"|""|"MATERIALI"|"Impianti antincendio"|"Impianti antincendio"|"Estintore carrellato ad anidride carbonica da 18 kg classe B10C"|"cad"|"695.73879"|"895.41582"|"81.40144"|"118.27559"||"0,00"||""||""||""|""
"CAM26_MT.C9.001.004"|""|"MATERIALI"|"Impianti antincendio"|"Impianti antincendio"|"Estintore carrellato ad anidride carbonica da 27 kg classe B8 C"|"cad"|"806.43124"|"1037.87701"|"94.35246"|"137.09331"||"0,00"||""||""||""|""
"CAM26_MT.C9.001.005"|""|"MATERIALI"|"Impianti antincendio"|"Impianti antincendio"|"Estintore carrellato ad anidride carbonica da 54 kg classe B6 C"|"cad"|"1475.17548"|"1898.55084"|"172.59553"|"250.77983"||"0,00"||""||""||""|""
"CAM26_MT.C9.001.006"|""|"MATERIALI"|"Impianti antincendio"|"Impianti antincendio"|"Tassello ad espansione in acciaio"|"cad"|"0.41948"|"0.53987"|"0.04908"|"0.07131"||"0,00"||""||""||""|""
"CAM26_MT.C9.001.007"|""|"MATERIALI"|"Impianti antincendio"|"Impianti antincendio"|"Cassetta per estintore da 6,0 Kg"|"cad"|"22.57200"|"29.05016"|"2.64092"|"3.83724"||"0,00"||""||""||""|""
"CAM26_MT.C9.001.008"|""|"MATERIALI"|"Impianti antincendio"|"Impianti antincendio"|"Cassetta per estintore da 12,0 Kg"|"cad"|"33.27436"|"42.82410"|"3.89310"|"5.65664"||"0,00"||""||""||""|""
"CAM26_MT.C9.001.009"|""|"MATERIALI"|"Impianti antincendio"|"Impianti antincendio"|"Estintore carrellato a polvere da 30 kg classe AB1 C"|"cad"|"294.22575"|"378.66854"|"34.42441"|"50.01838"||"0,00"||""||""||""|""
"CAM26_MT.C9.001.010"|""|"MATERIALI"|"Impianti antincendio"|"Impianti antincendio"|"Attacco motopompa per vv.f. con innesto di alimentazione da 4''"|"cad"|"336.30912"|"432.82984"|"39.34817"|"57.17255"||"0,00"||""||""||""|""
"CAM26_MT.C9.001.011"|""|"MATERIALI"|"Impianti antincendio"|"Impianti antincendio"|"Attacco motopompa per vv.f. con innesto di alimentazione da 3''"|"cad"|"223.49461"|"287.63756"|"26.14887"|"37.99408"||"0,00"||""||""||""|""
"CAM26_MT.C9.001.012"|""|"MATERIALI"|"Impianti antincendio"|"Impianti antincendio"|"Attacco motopompa per vv.f. con innesto di alimentazione da 2''1/2"|"cad"|"134.86170"|"173.56701"|"15.77882"|"22.92649"||"0,00"||""||""||""|""
"CAM26_MT.C9.001.013"|""|"MATERIALI"|"Impianti antincendio"|"Impianti antincendio"|"Attacco motopompa per vv.f. con innesto di alimentazione da 2''"|"cad"|"90.38485"|"116.32530"|"10.57503"|"15.36542"||"0,00"||""||""||""|""
"CAM26_MT.C9.001.014"|""|"MATERIALI"|"Impianti antincendio"|"Impianti antincendio"|"Cassetta esterna per idranti con rubinetto UNI 45 e manichetta da 15 m"|"cad"|"108.03987"|"139.04732"|"12.64067"|"18.36678"||"0,00"||""||""||""|""
"CAM26_MT.C9.001.015"|""|"MATERIALI"|"Impianti antincendio"|"Impianti antincendio"|"Cassetta esterna per idranti con rubinetto UNI 45 e manichetta da 20 m"|"cad"|"123.06700"|"158.38723"|"14.39884"|"20.92139"||"0,00"||""||""||""|""
"CAM26_MT.C9.001.016"|""|"MATERIALI"|"Impianti antincendio"|"Impianti antincendio"|"Cassetta esterna per idranti con rubinetto UNI 45 e manichetta da 25 m"|"cad"|"144.04083"|"185.38055"|"16.85278"|"24.48694"||"0,00"||""||""||""|""
"CAM26_MT.C9.001.017"|""|"MATERIALI"|"Impianti antincendio"|"Impianti antincendio"|"Cassetta esterna per idranti con rubinetto UNI 45 e manichetta da 30 m"|"cad"|"161.62183"|"208.00729"|"18.90975"|"27.47571"||"0,00"||""||""||""|""
"CAM26_MT.C9.001.018"|""|"MATERIALI"|"Impianti antincendio"|"Impianti antincendio"|"Cassetta esterna per idranti con rubinetto UNI 70 e manichetta da 20 m"|"cad"|"194.11892"|"249.83105"|"22.71191"|"33.00022"||"0,00"||""||""||""|""
