Codice|CAM|Tipologia / Famiglia|Capitolo|Voce|Articolo|Unità di misura|Prezzo senza S. G.|Prezzo|Utili di impresa|Spese generali|Di cui oneri di sicurezza afferenti l'impresa|Di cui oneri di sicurezza afferenti l'impresa %|Incidenza Manodopera indiretta sul totale|Manodopera|Incidenza Manodopera diretta sul totale|Manodopera|Incidenza Oneri di sicurezza sul totale|Scostamento % senza S. G.2025|Scostamento % su anno 2025
"CAM26_A00.030.304.A"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN LABORATORIO"|"Cromotografia ionica"|"Esecuzione  di  un  dosaggio  dei  sali  solubili  mediante  cromatografia  ionica  con  analisi  quali- quantitativa di anioni (floruri, cloruri,  nitriti, nitrati, fosfati, solfati,  ossalati) e cationi (litio, calcio, sodio, potassio, ione ammonio, magnesio) (Raccomandazioni NorMaL 13/83). Deve essere fornito una tabella dei dati ottenuti (espressi percento in peso e meq/100mg) con interpretazione dei dati ottenuti ed eventuale grafico riassuntivo  prevista preparazione ed analisi degli anioni"|"cad"|"94.71288"|"121.90"|"11.08141"|"16.10119"|"0.80506"|"5,00"|"70,76"|"86.25928"|"70,76"|"86.25928"|"0,66"|""|""
"CAM26_A00.030.304.B"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN LABORATORIO"|"Cromotografia ionica"|"Esecuzione  di  un  dosaggio  dei  sali  solubili  mediante  cromatografia  ionica  con  analisi  quali- quantitativa di anioni (floruri, cloruri,  nitriti, nitrati, fosfati, solfati,  ossalati) e cationi (litio, calcio, sodio, potassio, ione ammonio, magnesio) (Raccomandazioni NorMaL 13/83). Deve essere fornito una tabella dei dati ottenuti (espressi percento in peso e meq/100mg) con interpretazione dei dati ottenuti ed eventuale grafico riassuntivo  prevista preparazione ed analisi degli anioni e dei cationi"|"cad"|"155.59973"|"200.26"|"18.20517"|"26.45195"|"1.32260"|"5,00"|"70,76"|"141.71167"|"70,76"|"141.71167"|"0,66"|""|""
"CAM26_A00.030.305.A"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN LABORATORIO"|"Dosaggio dei Sali solubili"|"Dosaggio dei sali solubili totali: esecuzione di  una determinazione quantitativa dei sali totali presenti misurando la conducibilità elettrica totale  della soluzione. Deve  essere  fornita relativa interpretazione dei risultati  prevista su soluzione acquosa"|"cad"|"27.06082"|"34.83"|"3.16612"|"4.60034"|"0.23002"|"5,00"|"70,76"|"24.64551"|"70,76"|"24.64551"|"0,66"|""|""
"CAM26_A00.030.305.B"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN LABORATORIO"|"Dosaggio dei Sali solubili"|"Dosaggio dei sali solubili totali: esecuzione di  una determinazione quantitativa dei sali totali presenti misurando la conducibilità elettrica totale  della soluzione. Deve  essere  fornita relativa interpretazione dei risultati  prevista su soluzione acquosa campione solido"|"cad"|"67.65206"|"87.07"|"7.91529"|"11.50085"|"0.57504"|"5,00"|"70,76"|"61.61377"|"70,76"|"61.61377"|"0,66"|""|""
"CAM26_A00.030.306.A"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN LABORATORIO"|"Analisi calcimetrica"|"Esecuzione di analisi calcimetrica con misurazione dell'insoluto in HCl per la valutazione del contenuto di carbonato di calcio e della componente non solubile in HCl all'interno del materiale analizzato (malta o materiale lapideo naturale) (Raccomandazioni NorMaL 32/89); permette una valutazione  del  rapporto  in  peso  tra  aggregato  e  legante  nel  caso  di  assenza  di  calcare nell'aggregato stesso e che il legante sia totalmente a calce. Deve essere fornita l’interpretazione  dei risultati"|"cad"|"115.00850"|"148.02"|"13.45600"|"19.55145"|"0.97757"|"5,00"|"70,76"|"104.74341"|"70,76"|"104.74341"|"0,66"|""|""
"CAM26_A00.030.307.A"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN LABORATORIO"|"Osservazione con microscopio elettronico"|"Esecuzione di un’osservazione con microscopio  elettronico a  scansione (SEM) finalizzata alla caratterizzazione  elementare  (Raccomandazioni  NorMaL  8/81).  Deve  essere  fornita  relativa interpretazione  dei  risultati  ottenuti,  documentazione  fotografica,  spettri  in  fluorescenza  X  ed eventuali (ove significative) mappature RX; analisi morfologica ed elementare"|"cad"|"500.62525"|"644.30"|"58.57315"|"85.10629"|"4.25531"|"5,00"|"70,76"|"455.94190"|"70,76"|"455.94190"|"0,66"|""|""
"CAM26_A00.030.307.B"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN LABORATORIO"|"Osservazione con microscopio elettronico"|"Esecuzione di un’osservazione con microscopio  elettronico a  scansione (SEM) finalizzata alla caratterizzazione  elementare  (Raccomandazioni  NorMaL  8/81).  Deve  essere  fornita  relativa interpretazione  dei  risultati  ottenuti,  documentazione  fotografica,  spettri  in  fluorescenza  X  ed eventuali (ove significative) mappature RX;  solo spettro elementare"|"cad"|"270.60825"|"348.27"|"31.66117"|"46.00340"|"2.30017"|"5,00"|"70,76"|"246.45508"|"70,76"|"246.45508"|"0,66"|""|""
"CAM26_A00.030.307.C"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN LABORATORIO"|"Osservazione con microscopio elettronico"|"Esecuzione di un’osservazione con microscopio  elettronico a  scansione (SEM) finalizzata alla caratterizzazione  elementare  (Raccomandazioni  NorMaL  8/81).  Deve  essere  fornita  relativa interpretazione  dei  risultati  ottenuti,  documentazione  fotografica,  spettri  in  fluorescenza  X  ed eventuali (ove significative) mappature RX;   ulteriori zone"|"cad"|"20.29562"|"26.12"|"2.37459"|"3.45026"|"0.17251"|"5,00"|"70,76"|"18.48413"|"70,76"|"18.48413"|"0,66"|""|""
"CAM26_A00.030.307.D"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN LABORATORIO"|"Osservazione con microscopio elettronico"|"Esecuzione di un’osservazione con microscopio  elettronico a  scansione (SEM) finalizzata alla caratterizzazione  elementare  (Raccomandazioni  NorMaL  8/81).  Deve  essere  fornita  relativa interpretazione  dei  risultati  ottenuti,  documentazione  fotografica,  spettri  in  fluorescenza  X  ed eventuali (ove significative) mappature RX;   mappatura RX"|"cad"|"270.60825"|"348.27"|"31.66117"|"46.00340"|"2.30017"|"5,00"|"70,76"|"246.45508"|"70,76"|"246.45508"|"0,66"|""|""
"CAM26_A00.030.307.E"|""|"RESTAURO - ANALISI PRELIMINARI, CONOSCITIVI E DOCUMENTALI"|"ANALISI IN LABORATORIO"|"Osservazione con microscopio elettronico"|"Esecuzione di un’osservazione con microscopio  elettronico a  scansione (SEM) finalizzata alla caratterizzazione  elementare  (Raccomandazioni  NorMaL  8/81).  Deve  essere  fornita  relativa interpretazione  dei  risultati  ottenuti,  documentazione  fotografica,  spettri  in  fluorescenza  X  ed eventuali (ove significative) mappature RX ;  ulteriori mappature"|"cad"|"20.29562"|"26.12"|"2.37459"|"3.45026"|"0.17251"|"5,00"|"70,76"|"18.48413"|"70,76"|"18.48413"|"0,66"|""|""
